CustomerID,Age,Region,SignupDate,PurchaseAmount,IsActive,Churned,PurchaseAmount_Outlier
C-1036,63.0,East,2024-02-09,632.0,True,No,False
C-1097,54.0,North,2023-12-13,278.0,True,Yes,False
C-1284,41.0,East,2023-07-16,23.3,True,No,False
C-1013,58.0,North,2023-11-20,382.22,False,No,False
C-1144,70.0,North,2023-03-16,821.47,False,No,False
C-1232,19.0,North,2024-09-22,438.55,False,No,False
C-1146,19.0,West,2024-09-07,296.29,True,No,False
C-1105,59.0,West,2023-05-02,255.0,True,No,False
C-1212,59.0,East,2023-11-26,67.47,True,No,False
C-1154,41.0,East,2023-01-17,408.0,True,Yes,False
C-1009,22.0,South,2022-01-25,443.36,True,No,False
C-1128,48.0,South,2022-02-23,314.91,True,Yes,False
C-1228,46.0,East,2022-09-15,641.0,False,No,False
C-1045,69.0,South,2024-12-14,273.0,True,No,False
C-1115,48.0,North,2024-10-17,735.33,False,Yes,False
C-1268,50.0,East,2024-06-11,556.0,True,Yes,False
C-1024,59.0,North,2024-10-12,705.0,True,No,False
C-1165,61.0,West,2023-08-25,179.89,True,Yes,False
C-1143,39.0,East,2024-04-11,399.2,True,No,False
C-1151,32.0,East,2023-03-31,84.95,True,Yes,False
C-1126,22.0,East,2024-05-26,374.0,False,No,False
C-1274,40.0,North,2022-07-22,650.0,True,No,False
C-1173,43.0,North,2023-05-08,138.6,False,No,False
C-1277,59.0,West,2022-12-16,794.03,True,No,False
C-1033,43.0,East,2023-03-31,708.14,True,No,False
C-1201,66.0,North,2022-04-23,812.38,True,No,False
C-1122,52.0,West,2024-08-05,321.02,False,No,False
C-1063,69.0,East,2023-12-13,952.16,True,Yes,False
C-1066,65.0,West,2023-12-18,404.03,True,Yes,False
C-1196,36.0,East,2024-09-29,396.05,True,Yes,False
C-1256,53.0,West,2024-05-17,26.64,False,No,False
C-1000,22.0,North,2024-07-20,288.0,False,Yes,False
C-1121,53.0,West,2022-01-09,315.0,True,No,False
C-1108,42.0,North,2022-02-10,399.14,True,No,False
C-1287,48.0,North,2022-06-02,808.3,False,No,False
C-1004,40.0,West,2023-07-01,0.0,False,No,False
C-1057,26.0,South,2022-03-23,489.6,True,No,False
C-1141,29.0,South,2023-08-05,639.49,True,No,False
C-1059,54.0,East,2023-07-10,466.0,True,No,False
C-1300,37.0,North,2023-05-14,97.49,False,No,False
C-1047,65.0,South,2023-12-14,878.4,True,No,False
C-1221,42.0,South,2023-07-05,589.14,True,No,False
C-1046,41.0,South,2024-04-13,373.0,False,No,False
C-1180,67.0,South,2022-11-21,518.31,False,No,False
C-1120,41.0,West,2024-04-27,600.0,True,No,False
C-1170,23.0,East,2022-04-03,446.0,False,No,False
C-1158,44.0,East,2022-11-24,138.79,True,Yes,False
C-1129,51.0,South,2024-09-21,351.28,True,No,False
C-1166,35.0,North,2024-08-28,272.85,True,No,False
C-1056,46.0,North,2024-08-07,134.07,True,No,False
C-1225,34.0,South,2023-01-15,716.97,False,No,False
C-1189,43.0,North,2024-07-25,93.8,True,No,False
C-1210,31.0,South,2023-05-12,595.24,False,Yes,False
C-1311,53.0,South,2024-05-01,178.01,False,Yes,False
C-1127,58.0,North,2023-02-23,321.97,False,No,False
C-1204,42.0,South,2022-03-15,879.7,True,No,False
C-1193,37.0,East,2022-03-08,247.29,False,Yes,False
C-1042,55.0,North,2023-11-11,101.68,False,No,False
C-1281,43.0,North,2022-12-16,198.68,True,No,False
C-1222,55.0,West,2023-08-16,473.51,True,Yes,False
C-1076,35.0,East,2024-04-01,301.5,True,No,False
C-1207,69.0,West,2023-08-31,586.0,True,No,False
C-1257,23.0,East,2023-10-03,336.94,True,Yes,False
C-1007,54.0,West,2023-07-21,634.59,False,No,False
C-1073,24.0,South,2024-06-18,270.16,False,Yes,False
C-1050,58.0,North,2024-02-29,317.85,True,No,False
C-1266,41.0,West,2024-01-09,304.05,False,No,False
C-1220,24.0,North,2024-04-03,299.0,True,Yes,False
C-1152,66.0,West,2024-07-22,189.0,False,No,False
C-1032,22.0,North,2022-01-09,374.71,False,No,False
C-1015,59.0,North,2023-03-05,208.86,True,No,False
C-1202,44.0,West,2023-02-05,465.28,True,No,False
C-1094,65.0,North,2023-03-27,408.65,True,No,False
C-1107,53.0,North,2022-09-19,481.22,True,No,False
C-1084,51.0,North,2024-05-01,647.21,True,No,False
C-1198,35.0,South,2023-06-29,348.0,True,No,False
C-1147,30.0,South,2023-10-31,123.88,True,Yes,False
C-1194,68.0,South,2023-03-06,365.0,False,No,False
C-1078,47.0,South,2023-01-15,475.0,True,Yes,False
C-1035,21.0,South,2022-07-06,167.19,True,No,False
C-1179,44.0,East,2023-11-30,256.41,True,No,False
C-1172,58.0,West,2023-01-10,8335.86,True,No,True
C-1017,24.0,North,2022-01-10,397.27,True,No,False
C-1087,34.0,West,2024-08-16,556.89,True,No,False
C-1156,24.0,East,2024-07-23,605.0,True,No,False
C-1162,39.0,North,2023-03-11,572.42,True,No,False
C-1211,55.0,West,2024-11-20,281.68,False,Yes,False
C-1262,33.0,North,2023-06-06,489.0,True,No,False
C-1251,44.0,West,2022-01-02,596.78,True,Yes,False
C-1260,60.0,North,2023-04-26,200.66,True,No,False
C-1314,30.0,East,2024-02-04,163.13,False,No,False
C-1276,42.0,North,2023-09-08,327.0,True,No,False
C-1117,43.0,North,2024-04-15,505.19,True,No,False
C-1208,31.0,East,2022-01-20,433.57,False,No,False
C-1177,26.0,North,2023-08-08,582.0,True,No,False
C-1064,39.0,North,2023-08-29,348.8,True,No,False
C-1010,45.0,East,2023-03-13,283.15,True,No,False
C-1293,35.0,West,2022-11-18,347.83,True,Yes,False
C-1254,53.0,North,2023-09-07,415.34,True,Yes,False
C-1247,40.0,North,2022-07-14,607.11,True,No,False
C-1304,46.0,East,2022-12-09,914.88,False,No,False
C-1288,46.0,West,2022-02-09,443.65,True,Yes,False
C-1093,38.0,North,2022-09-22,138.68,True,Yes,False
C-1310,53.0,North,2023-02-26,368.17,True,No,False
C-1313,32.0,North,2024-09-10,167.3,True,No,False
C-1005,63.0,East,2024-07-17,374.02,True,No,False
C-1200,37.0,North,2022-05-28,526.0,True,No,False
C-1100,62.0,East,2023-09-01,810.76,False,No,False
C-1241,48.0,North,2022-01-28,517.0,False,No,False
C-1255,25.0,West,2022-10-02,821.73,True,No,False
C-1058,57.0,West,2022-05-05,0.0,True,No,False
C-1104,60.0,West,2024-10-09,763.36,False,No,False
C-1124,63.0,East,2024-03-20,296.68,True,No,False
C-1006,22.0,West,2023-08-05,366.97,True,No,False
C-1246,58.0,East,2022-12-20,624.45,False,No,False
C-1240,25.0,North,2023-12-17,374.02,True,No,False
C-1195,22.0,West,2023-06-27,273.58,True,No,False
C-1149,21.0,South,2022-10-06,955.31,False,No,False
C-1163,39.0,East,2022-05-06,1024.83,False,No,True
C-1167,26.0,West,2024-08-06,350.41,True,Yes,False
C-1238,34.0,North,2023-10-09,1189.52,False,No,True
C-1074,43.0,South,2024-03-14,182.0,True,No,False
C-1258,27.0,East,2024-05-08,374.02,True,No,False
C-1190,54.0,East,2024-02-07,118.0,True,Yes,False
C-1209,59.0,South,2022-11-27,368.05,True,Yes,False
C-1111,59.0,South,2024-11-09,252.97,True,Yes,False
C-1309,23.0,South,2023-11-27,415.71,True,No,False
C-1106,59.0,North,2024-06-19,431.88,True,Yes,False
C-1148,61.0,South,2024-01-06,209.09,True,No,False
C-1259,49.0,West,2023-11-27,175.95,False,Yes,False
C-1213,41.0,West,2024-08-22,602.0,False,No,False
C-1278,21.0,East,2022-04-22,201.0,True,No,False
C-1252,27.0,North,2022-11-07,113.46,True,Yes,False
C-1065,35.0,North,2024-11-18,577.52,True,No,False
C-1185,41.0,East,2022-05-11,852.38,True,No,False
C-1132,22.0,South,2023-11-12,786.69,True,No,False
C-1118,31.0,West,2024-02-21,558.0,True,No,False
C-1244,51.0,North,2022-09-22,268.99,True,No,False
C-1119,24.0,North,2023-12-21,220.0,True,No,False
C-1315,52.0,East,2023-05-07,247.97,True,No,False
C-1038,32.0,North,2023-11-25,497.0,True,No,False
C-1224,56.0,South,2022-11-08,466.07,True,No,False
C-1019,41.0,West,2022-12-13,8994.15,False,Yes,True
C-1072,42.0,East,2022-11-12,156.21,True,No,False
C-1075,43.0,South,2024-11-28,385.39,False,No,False
C-1264,70.0,East,2024-12-25,333.15,True,No,False
C-1040,26.0,East,2024-12-11,455.5,True,No,False
C-1110,32.0,East,2023-02-13,543.48,False,No,False
C-1299,19.0,North,2024-12-14,141.0,True,No,False
C-1048,53.0,East,2024-09-16,188.0,True,No,False
C-1018,62.0,North,2023-01-07,866.89,False,No,False
C-1043,36.0,North,2024-08-20,493.49,True,Yes,False
C-1273,68.0,East,2023-05-30,210.44,True,No,False
C-1090,41.0,West,2023-05-25,194.71,True,No,False
C-1275,43.0,East,2022-07-07,379.78,True,No,False
C-1160,70.0,North,2023-10-09,342.02,True,No,False
C-1114,44.0,South,2022-04-30,498.2,False,No,False
C-1068,22.0,North,2024-11-27,286.0,True,No,False
C-1215,32.0,West,2023-05-08,193.0,False,Yes,False
C-1131,47.0,South,2022-04-22,316.36,True,No,False
C-1001,59.0,North,2023-02-25,362.78,True,No,False
C-1187,38.0,North,2022-07-24,264.62,True,No,False
C-1227,48.0,West,2023-02-28,118.0,False,No,False
C-1178,65.0,East,2024-12-29,506.39,False,No,False
C-1181,26.0,South,2024-04-28,170.98,True,Yes,False
C-1133,47.0,East,2022-09-13,752.0,False,Yes,False
C-1223,28.0,North,2024-12-09,0.0,True,No,False
C-1248,59.0,North,2022-06-20,374.02,True,Yes,False
C-1283,43.0,South,2024-05-03,374.02,True,No,False
C-1168,35.0,West,2022-07-25,239.44,True,Yes,False
C-1263,67.0,South,2024-11-06,981.45,False,Yes,False
C-1142,32.0,South,2022-02-02,259.12,True,No,False
C-1245,22.0,West,2022-11-25,318.0,True,Yes,False
C-1027,61.0,West,2023-04-06,305.27,False,No,False
C-1138,36.0,North,2023-07-18,554.37,True,No,False
C-1089,62.0,North,2024-07-30,263.0,False,No,False
C-1023,67.0,West,2023-10-28,248.0,True,No,False
C-1096,30.0,North,2024-05-19,0.0,True,No,False
C-1079,53.0,North,2022-01-06,63.81,True,Yes,False
C-1316,56.0,East,2022-08-15,454.05,True,Yes,False
C-1192,50.0,East,2023-10-14,446.71,True,No,False
C-1242,23.0,North,2022-11-24,459.89,True,No,False
C-1171,22.0,East,2024-01-10,272.31,True,No,False
C-1067,37.0,East,2023-04-02,359.94,True,No,False
C-1145,63.0,West,2024-02-06,374.02,True,Yes,False
C-1081,41.0,East,2022-11-23,715.99,False,No,False
C-1231,63.0,West,2024-09-02,178.0,True,Yes,False
C-1037,61.0,East,2023-07-30,423.83,True,No,False
C-1140,70.0,South,2024-01-12,661.85,True,No,False
C-1034,65.0,North,2022-11-01,448.69,False,No,False
C-1125,47.0,East,2023-03-07,189.86,True,No,False
C-1236,53.0,East,2024-03-23,479.92,True,No,False
C-1301,61.0,South,2022-10-16,694.0,True,No,False
C-1253,35.0,West,2022-03-08,463.0,True,Yes,False
C-1176,56.0,East,2024-06-03,752.93,True,No,False
C-1092,62.0,North,2024-12-06,398.97,False,No,False
C-1109,55.0,North,2022-03-02,136.24,True,No,False
C-1280,32.0,North,2023-12-16,571.02,True,No,False
C-1071,43.0,West,2022-06-18,574.29,True,No,False
C-1161,53.0,East,2023-05-07,654.29,True,No,False
C-1269,49.0,North,2024-01-06,543.04,True,No,False
C-1091,60.0,North,2022-12-23,155.32,True,No,False
C-1080,67.0,North,2022-05-16,372.0,True,No,False
C-1191,51.0,South,2024-03-15,838.55,True,Yes,False
