CustomerID,Age,Region,SignupDate,PurchaseAmount,IsActive,Churned
C-1239,51.0,West,10-Nov-2023,$229.70,No,No
C-1237,40.0,East,25-Aug-2022,265.40 USD,Yes,No
C-1003,41.0,West,2023-10-01,$387.92,Yes,No
C-1055,20.0,North,"May 20, 2023",687.11 USD,No,Yes
C-1183,54.0,East,08-Aug-2023,219.88 USD,Yes,Yes
C-1306,34.0,South,"February 25, 2022",453.96,Yes,No
C-1230,42.0,WEST,"December 23, 2022",$570,Yes,No
C-1026,39.0,East,05/06/2023,779.84,Yes,Yes
C-1135,34.0,North,01-May-2023,374.20 USD,No,Yes
C-1199,68.0,South,2023-01-12,unknown,Yes,No
C-1184,44.0,South,30-May-2022,$520,Yes,No
C-1318,,East,2022-11-27,363.56,Yes,No
C-1051,28.0,West,2022-11-08,627.04 USD,No,No
C-1036,63.0, East,02/09/2024,$632,Yes,No
C-1097,54.0,North ,2023-12-13,$278,Yes,Yes
C-1284,41.0,EAST,07/16/2023,$23.30,YES,No
C-1013,58.0,North,11/20/2023,382.22 USD,No,No
C-1144,70.0,North,2023-03-16,821.47,No,No
C-1232,19.0,North,2024-09-22,438.55 USD,No,No
C-1146,19.0,West,2024-09-07,$296.29,Yes,No
C-1105,59.0,West,02-May-2023,$255,Yes,No
C-1212,59.0,East,2023-11-26,$67.47,Yes,No
C-1154,41.0,East,"January 17, 2023",$408,Yes,Yes
C-1009,22.0,South,2022-01-25,443.36 USD,Yes ,No
C-1128,48.0,South,"February 23, 2022",$314.91,Yes,Yes
C-1228,46.0,East,"September 15, 2022",$641,NO,No
C-1045,69.0,South,2024-12-14,$273,Yes,No
C-1115,48.0,North,10/17/2024,735.33,No,Yes
C-1268,50.0,East,"June 11, 2024",$556,Yes,Yes
C-1024,59.0,North,10/12/2024,$705,Yes,No
C-1165,61.0,West,08/25/2023,179.89,Yes,Yes
C-1143,39.0, East,04/11/2024,$399.20,Yes,No
C-1151,32.0,E.,03/31/2023,84.95 USD,Yes,Yes
C-1126,22.0,East,05/26/2024,$374,No,No
C-1274,40.0,North,"July 22, 2022",$650,Yes,No
C-1173,,North,2023-05-08,$138.60,No,No
C-1277,59.0,West,16-Dec-2022,794.03,Yes,No
C-1033,,East,03/31/2023,$708.14,Yes,No
C-1201,66.0,North,"April 23, 2022",$812.38,Yes,No
C-1122,52.0,West,05-Aug-2024,$321.02,No,No
C-1063,69.0,East,12/13/2023,$952.16,y,Yes
C-1066,65.0,West,18-Dec-2023,404.03,Yes,Yes
C-1196,36.0,East,"September 29, 2024",$396.05,Yes,Yes
C-1317,56.0,east,12/05/2024,$499.35,No,No
C-1256,53.0,West,"May 17, 2024",$26.64,No,No
C-1000,22.0,North,07/20/2024,$288,No,Yes
C-1121,53.0,West,"January 09, 2022",$315,Yes,No
C-1108,42.0,North,02/10/2022,$399.14,Yes,No
C-1287,48.0,North,02-Jun-2022,808.30,No,No
C-1004,40.0,West ,2023-07-01,$0,No,No
C-1298,33.0,North ,2022-03-13,382.61 USD,Yes,No
C-1057,26.0,South,"March 23, 2022",$489.60,yes,No
C-1141,29.0,SOUTH,2023-08-05,$639.49,YES,No
C-1059,54.0,East,2023-07-10,$466,Yes,No
C-1300,37.0, North,2023-05-14,97.49,No,No
C-1047,65.0,South,14-Dec-2023,$878.40,Yes,No
C-1221,42.0,South,07/05/2023,589.14,Yes,No
C-1046,41.0,South,2024-04-13,$373,No,No
C-1180,67.0,South,"November 21, 2022",$518.31,No,No
C-1120,41.0,West,27-Apr-2024,$600,yes,No
C-1030,41.0,North,10/18/2023,$336,No,No
C-1170,23.0,E.,03-Apr-2022,$446,No,No
C-1158,44.0,East,24-Nov-2022,$138.79,Yes,Yes
C-1129,51.0,South,2024-09-21,351.28 USD,Yes,No
C-1166,35.0,North,28-Aug-2024,272.85 USD,Yes,No
C-1056,46.0,North,2024-08-07,134.07 USD,yes,No
C-1225,34.0,S.,15-Jan-2023,$716.97,No,No
C-1189,,North,"July 25, 2024",$93.80,Yes,No
C-1210,31.0,South,05/12/2023,$595.24,NO,Yes
C-1311,53.0,South,05/01/2024,$178.01,No ,Yes
C-1127,58.0,North,2023-02-23,321.97,No ,No
C-1204,42.0,S.,2022-03-15,$879.70,Yes,No
C-1193,37.0,East,"March 08, 2022",247.29 USD,No,Yes
C-1042,55.0,North,11/11/2023,$101.68,No,No
C-1281,43.0,North,16-Dec-2022,198.68 USD,Yes,No
C-1222,55.0,West,"August 16, 2023",473.51,Yes,Yes
C-1076,35.0,East,01-Apr-2024,301.50 USD,Yes,No
C-1207,69.0,West,08/31/2023,$586,Yes,No
C-1257,23.0,East,"October 03, 2023",336.94 USD,Yes,Yes
C-1007,54.0,West,07/21/2023,634.59 USD,No,No
C-1073,24.0,South,06/18/2024,270.16,No,Yes
C-1050,58.0,North,2024-02-29,$317.85,Yes,No
C-1266,41.0,West,2024-01-09,$304.05,NO,No
C-1220,24.0,North,2024-04-03,$299,yes,Yes
C-1152,66.0,West,2024-07-22,$189,No,No
C-1032,22.0,North,09-Jan-2022,$374.71,No,No
C-1015,59.0,North,2023-03-05,208.86 USD,Yes,No
C-1202,44.0,West,05-Feb-2023,$465.28,Yes,No
C-1094,65.0,North,03/27/2023,$408.65,Yes ,No
C-1107,53.0,North,19-Sep-2022,481.22,Yes,No
C-1084,51.0,North,05/01/2024,647.21 USD,YES,No
C-1198,35.0,South,"June 29, 2023",$348,Yes,No
C-1147,30.0, South,31-Oct-2023,123.88,Yes,Yes
C-1194,68.0,South,06-Mar-2023,$365,No,No
C-1078,47.0,South,2023-01-15,$475,Yes,Yes
C-1035,21.0,South,06-Jul-2022,$167.19,Yes,No
C-1179,44.0,East,"November 30, 2023",256.41 USD,yes,No
C-1172,58.0,W.,"January 10, 2023",8335.86,Yes,No
C-1017,24.0,North,01/10/2022,397.27,Yes,No
C-1087,34.0,West,16-Aug-2024,$556.89,Yes,No
C-1156,24.0,East,"July 23, 2024",$605,Yes,No
C-1162,39.0,North,03/11/2023,$572.42,y,No
C-1211,55.0,West,"November 20, 2024",281.68 USD,No,Yes
C-1262,33.0,North,2023-06-06,$489,YES,No
C-1251,44.0,West,01/02/2022,596.78 USD,Yes,Yes
C-1260,60.0,North,2023-04-26,200.66,Yes,No
C-1314,30.0,East,"February 04, 2024",163.13,No,No
C-1276,42.0,North,09/08/2023,$327,Yes,No
C-1117,,North,15-Apr-2024,505.19 USD,Yes,No
C-1208,31.0,East,20-Jan-2022,433.57 USD,No,No
C-1177,26.0,North,2023-08-08,$582,Yes,No
C-1064,39.0,North,2023-08-29,348.80 USD,Yes,No
C-1010,45.0,East,2023-03-13,283.15 USD,Yes,No
C-1293,35.0,West,11/18/2022,347.83 USD,Yes,Yes
C-1254,53.0,North,"September 07, 2023",415.34 USD,Yes,Yes
C-1247,40.0,NORTH,14-Jul-2022,$607.11,Yes,No
C-1304,46.0,East,12/09/2022,914.88,No,No
C-1288,46.0,West,"February 09, 2022",$443.65,YES,Yes
C-1093,38.0,North,2022-09-22,$138.68,Yes,Yes
C-1310,53.0,North,2023-02-26,368.17 USD,Yes,No
C-1313,32.0,North,10-Sep-2024,167.30,Yes,No
C-1005,63.0,East,07/17/2024,N/A,Yes,No
C-1200,37.0,North,05/28/2022,$526,YES,No
C-1100,62.0,East,"September 01, 2023",810.76 USD,NO,No
C-1241,48.0,North,01/28/2022,$517,No,No
C-1255,25.0,West,02-Oct-2022,821.73 USD,YES,No
C-1058,57.0,West,2022-05-05,0.00,Yes,No
C-1104,60.0,West,2024-10-09,763.36,No,No
C-1124,63.0,East,20-Mar-2024,$296.68,y,No
C-1006,22.0,West,2023-08-05,$366.97,Yes,No
C-1246,58.0,East,20-Dec-2022,624.45 USD,No,No
C-1240,25.0,North ,12/17/2023,unknown,Yes,No
C-1195,22.0,West,06/27/2023,273.58,Yes,No
C-1149,21.0,South ,06-Oct-2022,955.31 USD,No,No
C-1163,39.0,East,06-May-2022,"1,024.83 USD",No,No
C-1167,26.0,West,2024-08-06,$350.41,Yes,Yes
C-1238,34.0,North,"October 09, 2023","1,189.52 USD",No,No
C-1074,,South,"March 14, 2024",$182,y,No
C-1258,27.0,East,"May 08, 2024",,YES,No
C-1190,54.0,East,07-Feb-2024,$118,Yes,Yes
C-1209,59.0,S.,11/27/2022,368.05,Yes,Yes
C-1111,59.0,South,"November 09, 2024",$252.97,Yes,Yes
C-1309,23.0,South,2023-11-27,415.71 USD,Yes,No
C-1106,59.0,North,06/19/2024,$431.88,Yes,Yes
C-1148,61.0,S.,"January 06, 2024",$209.09,y,No
C-1259,49.0,WEST,27-Nov-2023,175.95,no,Yes
C-1213,41.0,West,"August 22, 2024",$602,No,No
C-1278,21.0,East,04/22/2022,$201,Yes,No
C-1252,27.0, North,2022-11-07,$113.46,Yes,Yes
C-1065,35.0,N.,2024-11-18,577.52,Yes,No
C-1185,41.0,East,2022-05-11,852.38 USD,Yes,No
C-1141,29.0,SOUTH,2023-08-05,$639.49,YES,No
C-1132,22.0,south,2023-11-12,786.69 USD,Yes,No
C-1118,31.0,West,2024-02-21,$558,yes,No
C-1244,51.0, North,22-Sep-2022,268.99,Yes,No
C-1119,24.0,north,21-Dec-2023,$220,Yes,No
C-1315,52.0,East,05/07/2023,247.97 USD,Yes,No
C-1038,32.0,North,"November 25, 2023",$497,YES,No
C-1084,51.0,North,05/01/2024,647.21 USD,YES,No
C-1224,56.0,South,2022-11-08,466.07 USD,Yes,No
C-1019,41.0,West,13-Dec-2022,8994.15,No,Yes
C-1072,42.0,East,2022-11-12,156.21 USD,Yes,No
C-1075,43.0,South,28-Nov-2024,385.39,no,No
C-1264,70.0,East ,25-Dec-2024,$333.15,Yes,No
C-1040,26.0,East,2024-12-11,455.50 USD,Yes,No
C-1287,48.0,North,02-Jun-2022,808.30,No,No
C-1110,32.0,East,2023-02-13,$543.48,No,No
C-1299,19.0,North,12/14/2024,$141,Yes,No
C-1048,53.0,East,2024-09-16,$188,Yes ,No
C-1018,62.0,North,01/07/2023,$866.89,No,No
C-1043,36.0,North,"August 20, 2024",493.49 USD,Yes,Yes
C-1273,68.0,East,"May 30, 2023",210.44,YES,No
C-1090,41.0,West,25-May-2023,194.71,Yes,No
C-1275,43.0,East,07-Jul-2022,379.78 USD,Yes,No
C-1160,70.0,North,09-Oct-2023,342.02,Yes,No
C-1114,44.0,South,04/30/2022,498.20,No,No
C-1068,22.0,North,27-Nov-2024,$286,Yes,No
C-1215,32.0,West,08-May-2023,$193,No,Yes
C-1131,47.0,South,2022-04-22,$316.36,Yes,No
C-1001,59.0,North,2023-02-25,362.78 USD,Yes,No
C-1187,38.0,North,24-Jul-2022,264.62 USD,Yes,No
C-1227,48.0,West,"February 28, 2023",$118,No,No
C-1178,65.0,East,2024-12-29,506.39,No,No
C-1181,26.0,South,"April 28, 2024",$170.98,Yes,Yes
C-1133,47.0,East,"September 13, 2022",$752,No,Yes
C-1223,28.0,north,12/09/2024,$0.00,Yes,No
C-1248,59.0, North,"June 20, 2022",,Yes,Yes
C-1283,, South,05/03/2024,N/A,Yes,No
C-1168,35.0,West,07/25/2022,239.44,Yes,Yes
C-1263,67.0,South,11/06/2024,981.45,No,Yes
C-1142,32.0,South,"February 02, 2022",$259.12,Yes,No
C-1245,22.0,West,25-Nov-2022,$318,Yes,Yes
C-1027,61.0,West,06-Apr-2023,305.27,No,No
C-1138,36.0,North,2023-07-18,554.37,Yes,No
C-1089,62.0,North,"July 30, 2024",$263,No,No
C-1023,67.0,west,28-Oct-2023,$248,Yes,No
C-1096,30.0,North,"May 19, 2024",0.00 USD,Yes,No
C-1079,53.0,North,"January 06, 2022",63.81 USD,Yes,Yes
C-1316,56.0,East ,08/15/2022,454.05 USD,yes,Yes
C-1192,50.0,East,14-Oct-2023,446.71 USD,Yes,No
C-1242,23.0,North,24-Nov-2022,459.89,Yes,No
C-1171,22.0,East,"January 10, 2024",272.31,Yes,No
C-1067,37.0,East,2023-04-02,359.94 USD,Yes,No
C-1145,63.0, West,"February 06, 2024",unknown,yes,Yes
C-1118,31.0,West,2024-02-21,$558,yes,No
C-1081,41.0,East,"November 23, 2022",715.99,No,No
C-1231,63.0,W.,2024-09-02,$178,Yes,Yes
C-1037,61.0,East,2023-07-30,$423.83,Yes,No
C-1140,70.0,South,12-Jan-2024,$661.85,Yes,No
C-1034,65.0,NORTH,2022-11-01,$448.69,No,No
C-1125,47.0,East,"March 07, 2023",189.86,Yes,No
C-1236,53.0,East,23-Mar-2024,479.92 USD,Yes,No
C-1301,61.0,SOUTH,10/16/2022,$694,yes,No
C-1253,35.0,West,"March 08, 2022",$463,Yes,Yes
C-1176,56.0,East,03-Jun-2024,752.93 USD,Yes,No
C-1092,62.0,North,"December 06, 2024",398.97 USD,No,No
C-1109,55.0,North,"March 02, 2022",$136.24,Yes,No
C-1280,32.0,North,16-Dec-2023,571.02,y,No
C-1071,,WEST,06/18/2022,574.29,Yes,No
C-1161,53.0,East,2023-05-07,$654.29,Yes,No
C-1269,49.0,North,"January 06, 2024",543.04,Yes,No
C-1091,60.0,north,"December 23, 2022",155.32 USD,Yes,No
C-1080,67.0,North,"May 16, 2022",$372,Yes,No
C-1191,51.0,South,15-Mar-2024,$838.55,Yes,Yes
